filename,size,max_capacity,max_weight,total_weight,hexu_output,hexu_time,dp_output,dp_time,outputs_match
scale_066_varyW_n2000_w170.txt,2000,102830,170,171384,138010,0.059048,138010,0.076626,True
scale_067_varyW_n2000_w178.txt,2000,107145,178,178575,145054,0.057100,145054,0.078025,True
scale_068_varyW_n2000_w186.txt,2000,111885,186,186475,151220,0.058640,151220,0.081927,True
scale_069_varyW_n2000_w194.txt,2000,117090,194,195151,157707,0.062888,157707,0.086024,True
scale_070_varyW_n2000_w202.txt,2000,119049,202,198415,165072,0.064345,165072,0.086660,True
scale_071_varyW_n2000_w210.txt,2000,125177,210,208629,171613,0.065884,171613,0.090132,True
scale_072_varyW_n2000_w218.txt,2000,130654,218,217758,175491,0.069064,175491,0.094313,True
scale_073_varyW_n2000_w226.txt,2000,133490,226,222484,184062,0.072439,184062,0.137344,True
scale_074_varyW_n2000_w234.txt,2000,139627,234,232713,191274,0.070934,191274,0.100516,True
scale_075_varyW_n2000_w242.txt,2000,143728,242,239547,194167,0.075158,194167,0.101447,True
scale_076_varyW_n2000_w250.txt,2000,151047,250,251745,204658,0.075918,204658,0.107516,True
scale_077_varyW_n2000_w258.txt,2000,155871,258,259786,210711,0.079280,210711,0.111108,True
scale_078_varyW_n2000_w266.txt,2000,159761,266,266269,220733,0.079827,220733,0.112613,True
scale_079_varyW_n2000_w274.txt,2000,161904,274,269841,224445,0.081521,224445,0.114685,True
scale_080_varyW_n2000_w282.txt,2000,171256,282,285428,236953,0.083862,236953,0.120266,True
scale_081_varyW_n2000_w290.txt,2000,171944,290,286574,241825,0.084939,241825,0.121120,True
scale_082_varyW_n2000_w298.txt,2000,178246,298,297078,241343,0.091784,241343,0.126513,True
scale_083_varyW_n2000_w306.txt,2000,182521,306,304202,249148,0.096325,249148,0.131169,True
scale_084_varyW_n2000_w314.txt,2000,193546,314,322577,261284,0.096110,261284,0.135799,True
scale_085_varyW_n2000_w322.txt,2000,190670,322,317784,259846,0.112093,259846,0.134113,True
scale_086_varyW_n2000_w330.txt,2000,199522,330,332537,271173,0.100189,271173,0.139430,True
scale_087_varyW_n2000_w338.txt,2000,201167,338,335279,273238,0.104462,273238,0.140338,True
scale_088_varyW_n2000_w346.txt,2000,208797,346,347996,283702,0.102928,283702,0.146282,True
scale_089_varyW_n2000_w354.txt,2000,210534,354,350890,286839,0.106619,286839,0.147613,True
scale_090_varyW_n2000_w362.txt,2000,222461,362,370769,301127,0.110271,301127,0.154772,True
scale_091_varyW_n2000_w370.txt,2000,223962,370,373270,301724,0.114101,301724,0.161657,True
scale_092_varyW_n2000_w378.txt,2000,228455,378,380759,307408,0.113138,307408,0.159401,True
scale_093_varyW_n2000_w386.txt,2000,238534,386,397557,321382,0.115407,321382,0.167381,True
scale_094_varyW_n2000_w394.txt,2000,235087,394,391813,325896,0.113756,325896,0.164571,True
scale_095_varyW_n2000_w402.txt,2000,239190,402,398650,322837,0.119628,322837,0.166554,True
scale_096_varyW_n2000_w410.txt,2000,251987,410,419979,343565,0.120912,343565,0.174840,True
scale_097_varyW_n2000_w418.txt,2000,249979,418,416632,337909,0.127461,337909,0.175071,True
scale_098_varyW_n2000_w426.txt,2000,256606,425,427677,347138,0.131096,347138,0.181286,True
scale_099_varyW_n2000_w434.txt,2000,264830,434,441384,356721,0.170712,356721,0.182411,True
scale_100_varyW_n2000_w442.txt,2000,263599,442,439333,359310,0.130247,359310,0.185540,True
scale_101_varyC_n2000_w200_c0.300.txt,2000,100000,200,205889,147260,0.057105,147260,0.075075,True
scale_102_varyC_n2000_w200_c0.314.txt,2000,100000,200,200993,147489,0.059311,147489,0.072297,True
scale_103_varyC_n2000_w200_c0.328.txt,2000,100000,200,198437,147499,0.058381,147499,0.072033,True
scale_104_varyC_n2000_w200_c0.342.txt,2000,100000,200,203284,145357,0.056234,145357,0.072672,True
scale_105_varyC_n2000_w200_c0.356.txt,2000,100000,200,199431,147967,0.057434,147967,0.073070,True
scale_106_varyC_n2000_w200_c0.370.txt,2000,100000,200,198380,146311,0.056638,146311,0.073048,True
scale_107_varyC_n2000_w200_c0.384.txt,2000,100000,200,202621,144103,0.060096,144103,0.073549,True
scale_108_varyC_n2000_w200_c0.398.txt,2000,100000,200,199646,144933,0.059648,144933,0.072767,True
scale_109_varyC_n2000_w200_c0.412.txt,2000,100000,200,200936,146302,0.058314,146302,0.073243,True
scale_110_varyC_n2000_w200_c0.426.txt,2000,100000,200,202897,145128,0.058993,145128,0.073001,True
scale_111_varyC_n2000_w200_c0.440.txt,2000,100000,200,204488,145126,0.058246,145126,0.073030,True
scale_112_varyC_n2000_w200_c0.454.txt,2000,100000,200,199541,146342,0.059226,146342,0.073199,True
scale_113_varyC_n2000_w200_c0.468.txt,2000,100000,200,202369,144982,0.057986,144982,0.073858,True
scale_114_varyC_n2000_w200_c0.482.txt,2000,100000,200,205880,143603,0.059759,143603,0.073282,True
scale_115_varyC_n2000_w200_c0.496.txt,2000,100000,200,199162,149007,0.058270,149007,0.073313,True
scale_116_varyC_n2000_w200_c0.510.txt,2000,103616,200,203169,147449,0.059199,147449,0.075182,True
scale_117_varyC_n2000_w200_c0.524.txt,2000,102859,200,196297,148465,0.097494,148465,0.080790,True
scale_118_varyC_n2000_w200_c0.538.txt,2000,107908,200,200574,154439,0.059053,154439,0.077923,True
scale_119_varyC_n2000_w200_c0.552.txt,2000,112324,200,203486,155244,0.059669,155244,0.081209,True
scale_120_varyC_n2000_w200_c0.566.txt,2000,114387,200,202098,158831,0.062856,158831,0.083070,True
scale_121_varyC_n2000_w200_c0.580.txt,2000,119646,200,206287,160908,0.062947,160908,0.084515,True
scale_122_varyC_n2000_w200_c0.594.txt,2000,121602,200,204718,165014,0.063771,165014,0.087524,True
scale_123_varyC_n2000_w200_c0.608.txt,2000,122336,200,201212,165517,0.065297,165517,0.090366,True
scale_124_varyC_n2000_w200_c0.622.txt,2000,122061,200,196241,165959,0.064972,165959,0.087866,True
scale_125_varyC_n2000_w200_c0.636.txt,2000,128563,200,202144,169729,0.065300,169729,0.095263,True
scale_126_varyC_n2000_w200_c0.650.txt,2000,129703,200,199544,168020,0.066106,168020,0.091827,True
scale_127_varyC_n2000_w200_c0.664.txt,2000,136513,200,205592,176770,0.072341,176770,0.098435,True
scale_128_varyC_n2000_w200_c0.678.txt,2000,136383,200,201155,179473,0.066324,179473,0.097363,True
scale_129_varyC_n2000_w200_c0.692.txt,2000,144857,200,209332,176495,0.066923,176495,0.102278,True
scale_130_varyC_n2000_w200_c0.706.txt,2000,141618,200,200593,178287,0.066780,178287,0.102589,True
scale_131_varyC_n2000_w200_c0.720.txt,2000,145071,200,201488,181757,0.070106,181757,0.103715,True
scale_132_varyC_n2000_w200_c0.734.txt,2000,149451,200,203612,188283,0.067504,188283,0.105476,True
scale_133_varyC_n2000_w200_c0.748.txt,2000,153715,200,205502,193122,0.068134,193122,0.108697,True
scale_134_varyC_n2000_w200_c0.762.txt,2000,152536,200,200179,185710,0.069416,185710,0.109594,True
scale_135_varyC_n2000_w200_c0.776.txt,2000,158068,200,203697,188823,0.075950,188823,0.112819,True
scale_136_varyC_n2000_w200_c0.790.txt,2000,158896,200,201135,191010,0.069649,191010,0.111617,True
scale_137_varyC_n2000_w200_c0.804.txt,2000,161090,200,200361,193719,0.069888,193719,0.113344,True
scale_138_varyC_n2000_w200_c0.818.txt,2000,164576,200,201194,196978,0.070814,196978,0.117036,True
scale_139_varyC_n2000_w200_c0.832.txt,2000,166241,200,199809,194462,0.076344,194462,0.119639,True
scale_140_varyC_n2000_w200_c0.846.txt,2000,170340,200,201348,192608,0.071394,192608,0.120013,True
scale_141_varyC_n2000_w200_c0.860.txt,2000,174961,200,203444,197385,0.073548,197385,0.124197,True
scale_142_varyC_n2000_w200_c0.874.txt,2000,176115,200,201505,200190,0.076927,200190,0.124555,True
scale_143_varyC_n2000_w200_c0.888.txt,2000,176632,200,198910,199736,0.073424,199736,0.124091,True
scale_144_varyC_n2000_w200_c0.902.txt,2000,180520,200,200134,196710,0.075326,196710,0.128031,True
scale_145_varyC_n2000_w200_c0.916.txt,2000,189227,200,206580,203061,0.074743,203061,0.133073,True
scale_146_varyC_n2000_w200_c0.930.txt,2000,185514,200,199478,201019,0.073705,201019,0.129508,True
scale_147_varyC_n2000_w200_c0.944.txt,2000,192528,200,203950,202079,0.078793,202079,0.133939,True
scale_148_varyC_n2000_w200_c0.958.txt,2000,191098,200,199476,201155,0.075920,201155,0.134173,True
scale_149_varyC_n2000_w200_c0.972.txt,2000,196079,200,201728,203924,0.078031,203924,0.137358,True
scale_150_varyC_n2000_w200_c0.986.txt,2000,197092,200,199891,202000,0.080243,202000,0.139381,True
