filename,size,max_capacity,max_weight,total_weight,hexu_output,hexu_time,dp_output,dp_time,outputs_match
probability_test_82.txt,100,1313,49,2483,1780,0.001766,1780,0.002024,True
probability_test_83.txt,100,4790,50,2640,1727,0.002116,2565,0.001854,False
probability_test_84.txt,100,3004,50,2374,2352,0.001805,2352,0.001824,True
probability_test_85.txt,100,4469,49,2287,1733,0.002002,2277,0.001755,False
probability_test_86.txt,100,3254,50,2438,2418,0.001793,2418,0.001890,True
probability_test_87.txt,100,1688,50,2790,2002,0.001956,2002,0.001972,True
probability_test_88.txt,100,2240,50,2591,2399,0.001887,2399,0.001986,True
probability_test_89.txt,100,3159,50,2776,2618,0.001943,2618,0.001749,True
probability_test_90.txt,100,2583,50,2520,2430,0.001729,2430,0.001941,True
probability_test_91.txt,100,1799,50,2650,2131,0.001833,2131,0.001654,True
probability_test_92.txt,100,2210,50,2626,2329,0.001764,2329,0.001904,True
probability_test_93.txt,100,3244,50,2737,2852,0.001880,2852,0.001862,True
probability_test_94.txt,100,4380,50,2444,2097,0.001747,2578,0.001870,False
probability_test_95.txt,100,2308,50,2644,2598,0.001970,2598,0.001635,True
probability_test_96.txt,100,2188,50,2575,2322,0.001773,2322,0.001779,True
probability_test_97.txt,100,1517,50,2619,1768,0.001917,1768,0.001649,True
probability_test_98.txt,100,1704,50,2639,2060,0.001719,2060,0.001784,True
probability_test_99.txt,100,4439,50,2674,2339,0.002051,2799,0.001797,False
